Measure 2 Condition:
0. +1: 334  +2: 68  +3: 56  +4: 45  +5: 45  +6: 44  +7: 43  +8: 41  +9: 41  +10: 41  +11: 42  +12: 41  +13: 40  +14: 43  +15: 40  +16: 42  +17: 41  +18: 42  +19: 42  +20: 41  -1: 53  -2: 50  -3: 48  -4: 47  -5: 46  -6: 46  -7: 45  -8: 45  -9: 44  -10: 44  -11: 44  -12: 44  -13: 43  -14: 43  -15: 43  -16: 43  -17: 43  -18: 42  -19: 42  -20: 42  
3. +1: 8986  +2: 9030  +3: 9025  +4: 9030  +5: 9160  +6: 9177  +7: 9293  +8: 9195  +9: 9419  +10: 9442  +11: 9470  +12: 9406  +13: 9614  +14: 9655  +15: 9832  +16: 9920  +17: 9962  +18: 10008  +19: 9975  +20: 10236  -1: 8830  -2: 8798  -3: 8949  -4: 9031  -5: 9101  -6: 9082  -7: 9070  -8: 9327  -9: 9356  -10: 9465  -11: 9278  -12: 9609  -13: 9644  -14: 9726  -15: 9766  -16: 9860  -17: 9942  -18: 9930  -19: 10255  -20: 10187  
4. +1: 11948  +2: 11973  +3: 12043  +4: 12047  +5: 12210  +6: 12235  +7: 12443  +8: 12354  +9: 12577  +10: 12619  +11: 12589  +12: 12555  +13: 12883  +14: 12907  +15: 13114  +16: 13167  +17: 13309  +18: 13371  +19: 13423  +20: 13645  -1: 11830  -2: 11748  -3: 11935  -4: 12045  -5: 12163  -6: 12180  -7: 12129  -8: 12470  -9: 12511  -10: 12552  -11: 12442  -12: 12829  -13: 12848  -14: 12982  -15: 13079  -16: 13199  -17: 13262  -18: 13311  -19: 13699  -20: 13564  
5. +1: 14887  +2: 14895  +3: 14994  +4: 15017  +5: 15160  +6: 15223  +7: 15534  +8: 15439  +9: 15702  +10: 15787  +11: 15689  +12: 15751  +13: 16063  +14: 16075  +15: 16369  +16: 16422  +17: 16577  +18: 16682  +19: 16781  +20: 16960  -1: 14727  -2: 14720  -3: 14886  -4: 15013  -5: 15142  -6: 15164  -7: 15129  -8: 15505  -9: 15564  -10: 15659  -11: 15583  -12: 15937  -13: 16005  -14: 16165  -15: 16315  -16: 16501  -17: 16516  -18: 16684  -19: 17034  -20: 16969  
6. +1: 17809  +2: 17835  +3: 17983  +4: 18032  +5: 18158  +6: 18226  +7: 18616  +8: 18551  +9: 18763  +10: 18896  +11: 18861  +12: 18888  +13: 19244  +14: 19284  +15: 19633  +16: 19688  +17: 19907  +18: 19985  +19: 20104  +20: 20379  -1: 17694  -2: 17663  -3: 17872  -4: 17966  -5: 18173  -6: 18200  -7: 18183  -8: 18591  -9: 18668  -10: 18800  -11: 18659  -12: 19070  -13: 19116  -14: 19426  -15: 19565  -16: 19800  -17: 19822  -18: 20043  -19: 20404  -20: 20343  
7. +1: 20714  +2: 20746  +3: 20972  +4: 20985  +5: 21130  +6: 21220  +7: 21640  +8: 21610  +9: 21884  +10: 21960  +11: 21929  +12: 21985  +13: 22396  +14: 22518  +15: 22902  +16: 22928  +17: 23181  +18: 23287  +19: 23470  +20: 23721  -1: 20637  -2: 20658  -3: 20805  -4: 20911  -5: 21199  -6: 21253  -7: 21207  -8: 21630  -9: 21692  -10: 21879  -11: 21802  -12: 22159  -13: 22280  -14: 22628  -15: 22760  -16: 23016  -17: 23081  -18: 23423  -19: 23724  -20: 23730  
8. +1: 23664  +2: 23703  +3: 23968  +4: 23998  +5: 24123  +6: 24292  +7: 24742  +8: 24686  +9: 24976  +10: 25042  +11: 25121  +12: 25153  +13: 25549  +14: 25713  +15: 26131  +16: 26197  +17: 26419  +18: 26602  +19: 26762  +20: 27127  -1: 23574  -2: 23615  -3: 23772  -4: 23870  -5: 24222  -6: 24246  -7: 24237  -8: 24767  -9: 24759  -10: 25025  -11: 24987  -12: 25302  -13: 25436  -14: 25847  -15: 26020  -16: 26230  -17: 26363  -18: 26712  -19: 27057  -20: 27122  
9. +1: 26527  +2: 26526  +3: 26828  +4: 26911  +5: 27042  +6: 27235  +7: 27735  +8: 27671  +9: 28046  +10: 28060  +11: 28121  +12: 28213  +13: 28628  +14: 28849  +15: 29371  +16: 29377  +17: 29679  +18: 29785  +19: 29997  +20: 30429  -1: 26397  -2: 26495  -3: 26653  -4: 26802  -5: 27176  -6: 27208  -7: 27207  -8: 27734  -9: 27762  -10: 28148  -11: 28067  -12: 28420  -13: 28486  -14: 29003  -15: 29142  -16: 29475  -17: 29558  -18: 29962  -19: 30276  -20: 30366  
10. +1: 29430  +2: 29448  +3: 29750  +4: 29861  +5: 30030  +6: 30194  +7: 30793  +8: 30615  +9: 31096  +10: 31111  +11: 31226  +12: 31365  +13: 31729  +14: 32041  +15: 32544  +16: 32553  +17: 32962  +18: 32976  +19: 33276  +20: 33737  -1: 29309  -2: 29398  -3: 29555  -4: 29716  -5: 30142  -6: 30165  -7: 30147  -8: 30774  -9: 30784  -10: 31217  -11: 31148  -12: 31523  -13: 31574  -14: 32158  -15: 32357  -16: 32679  -17: 32817  -18: 33254  -19: 33541  -20: 33660  
11. +1: 32379  +2: 32393  +3: 32681  +4: 32875  +5: 33071  +6: 33227  +7: 33872  +8: 33725  +9: 34231  +10: 34298  +11: 34375  +12: 34486  +13: 34960  +14: 35250  +15: 35774  +16: 35782  +17: 36252  +18: 36312  +19: 36669  +20: 37180  -1: 32266  -2: 32344  -3: 32565  -4: 32668  -5: 33125  -6: 33172  -7: 33225  -8: 33836  -9: 33875  -10: 34354  -11: 34336  -12: 34728  -13: 34752  -14: 35306  -15: 35591  -16: 35971  -17: 36166  -18: 36623  -19: 36903  -20: 37095  
12. +1: 35288  +2: 35340  +3: 35662  +4: 35848  +5: 36082  +6: 36242  +7: 36987  +8: 36794  +9: 37310  +10: 37381  +11: 37488  +12: 37637  +13: 38093  +14: 38420  +15: 39030  +16: 38978  +17: 39473  +18: 39639  +19: 40026  +20: 40593  -1: 35176  -2: 35271  -3: 35521  -4: 35673  -5: 36083  -6: 36217  -7: 36272  -8: 36945  -9: 36911  -10: 37454  -11: 37406  -12: 37888  -13: 37947  -14: 38501  -15: 38747  -16: 39217  -17: 39555  -18: 39903  -19: 40232  -20: 40450  
13. +1: 38249  +2: 38290  +3: 38648  +4: 38905  +5: 39148  +6: 39370  +7: 40064  +8: 39916  +9: 40479  +10: 40497  +11: 40689  +12: 40809  +13: 41326  +14: 41708  +15: 42324  +16: 42245  +17: 42836  +18: 42974  +19: 43393  +20: 43997  -1: 38145  -2: 38281  -3: 38487  -4: 38687  -5: 39199  -6: 39260  -7: 39323  -8: 40080  -9: 39998  -10: 40613  -11: 40550  -12: 41095  -13: 41158  -14: 41781  -15: 42034  -16: 42563  -17: 42839  -18: 43260  -19: 43624  -20: 43875  
14. +1: 41210  +2: 41277  +3: 41668  +4: 41926  +5: 42274  +6: 42403  +7: 43189  +8: 43075  +9: 43616  +10: 43665  +11: 43804  +12: 44020  +13: 44548  +14: 44991  +15: 45668  +16: 45560  +17: 46060  +18: 46298  +19: 46736  +20: 47420  -1: 41137  -2: 41247  -3: 41469  -4: 41698  -5: 42301  -6: 42323  -7: 42389  -8: 43197  -9: 43115  -10: 43787  -11: 43720  -12: 44235  -13: 44406  -14: 45030  -15: 45339  -16: 45854  -17: 46126  -18: 46610  -19: 47065  -20: 47250  
15. +1: 44103  +2: 44198  +3: 44598  +4: 44824  +5: 45250  +6: 45427  +7: 46203  +8: 46141  +9: 46736  +10: 46746  +11: 46963  +12: 47130  +13: 47673  +14: 48232  +15: 48895  +16: 48768  +17: 49319  +18: 49560  +19: 50002  +20: 50761  -1: 44004  -2: 44192  -3: 44435  -4: 44664  -5: 45292  -6: 45317  -7: 45405  -8: 46253  -9: 46203  -10: 46907  -11: 46772  -12: 47368  -13: 47617  -14: 48209  -15: 48527  -16: 49021  -17: 49477  -18: 49885  -19: 50387  -20: 50518  
